MIN_FPS, AVG_FPS, MAX_FPS, CUBES,
14, 337, 385, 0,
12, 287, 325, 2500,
128, 278, 313, 5000,
131, 274, 302, 7500,
25, 270, 300, 10000,
130, 264, 296, 12500,
66, 256, 291, 15000,
25, 250, 283, 17500,
123, 255, 284, 20000,
126, 254, 278, 22500,
123, 253, 277, 25000,
23, 246, 281, 27500,
118, 249, 270, 30000,
105, 246, 272, 32500,
24, 242, 270, 35000,
