MIN_FPS, AVG_FPS, MAX_FPS, CUBES,
24, 336, 376, 0,
127, 287, 320, 2500,
26, 275, 312, 5000,
126, 272, 301, 7500,
129, 270, 303, 10000,
24, 265, 296, 12500,
128, 263, 288, 15000,
124, 261, 285, 17500,
22, 254, 283, 20000,
127, 255, 279, 22500,
124, 252, 278, 25000,
24, 248, 274, 27500,
118, 248, 274, 30000,
105, 245, 269, 32500,
24, 241, 266, 35000,
