MIN_FPS, AVG_FPS, MAX_FPS, CUBES,
23, 347, 384, 0,
37, 265, 298, 2500,
133, 249, 274, 5000,
24, 230, 254, 7500,
123, 218, 237, 10000,
37, 206, 223, 12500,
117, 198, 212, 15000,
20, 183, 205, 17500,
36, 179, 194, 20000,
111, 175, 187, 22500,
38, 168, 180, 25000,
94, 163, 174, 27500,
