MIN_FPS, AVG_FPS, MAX_FPS, CUBES,
26, 350, 389, 0,
20, 266, 303, 2500,
135, 250, 275, 5000,
37, 230, 258, 7500,
122, 218, 241, 10000,
36, 205, 229, 12500,
113, 199, 216, 15000,
39, 189, 205, 17500,
110, 182, 196, 20000,
112, 175, 190, 22500,
36, 168, 183, 25000,
100, 164, 175, 27500,
