MIN_FPS, AVG_FPS, MAX_FPS, CUBES,
30, 347, 388, 0,
31, 267, 299, 2500,
133, 249, 275, 5000,
37, 229, 251, 7500,
124, 216, 235, 10000,
35, 206, 224, 12500,
110, 198, 212, 15000,
111, 189, 204, 17500,
34, 180, 195, 20000,
111, 175, 188, 22500,
105, 168, 182, 25000,
35, 161, 176, 27500,
