MIN_FPS, AVG_FPS, MAX_FPS, CUBES,
24, 351, 392, 0,
41, 270, 303, 2500,
131, 252, 279, 5000,
36, 231, 254, 7500,
122, 217, 242, 10000,
38, 205, 227, 12500,
114, 186, 213, 15000,
111, 190, 209, 17500,
35, 181, 197, 20000,
19, 175, 188, 22500,
98, 168, 182, 25000,
36, 162, 176, 27500,
