MIN_FPS, AVG_FPS, MAX_FPS, CUBES,
23, 339, 381, 0,
129, 273, 324, 2500,
23, 281, 312, 5000,
128, 275, 305, 7500,
122, 272, 310, 10000,
18, 268, 300, 12500,
129, 265, 293, 15000,
118, 263, 287, 17500,
25, 257, 285, 20000,
118, 257, 284, 22500,
117, 254, 281, 25000,
23, 249, 274, 27500,
116, 250, 277, 30000,
106, 247, 270, 32500,
117, 244, 269, 35000,
