MIN_FPS, AVG_FPS, MAX_FPS, CUBES,
24, 350, 394, 0,
40, 261, 299, 2500,
134, 231, 270, 5000,
26, 230, 251, 7500,
123, 218, 237, 10000,
20, 204, 226, 12500,
121, 198, 215, 15000,
111, 190, 205, 17500,
36, 180, 194, 20000,
104, 175, 190, 22500,
107, 169, 181, 25000,
35, 162, 175, 27500,
